percentage,city
0.0469,candeias
0.0469,"palmeira dos indios"
0.0469,salto
0.0469,paranagua
0.0469,"são joão da boa vista"
0.0469,amparo
0.0469,patrocinio
0.0469,"vitoria de santo antao"
0.0469,votuporanga
0.0469,"valparaíso de goiás"
0.0469,"sao goncalo do amarante"
0.0469,birigui
0.0469,"tres coracoes"
0.0469,"bento goncalves"
0.0469,pacatuba
0.0469,avare
0.0469,guapimirim
0.0469,iguatu
0.0469,"balneario camboriu"
0.0469,viana
0.0469,gaspar
0.0417,muriaé
0.0417,ariquemes
0.0417,maranguape
0.0417,goianesia
0.0417,paulinia
0.0417,itatiba
0.0417,araguari
0.0417,"nova odessa"
0.0417,limeira
0.0417,leme
0.0417,ituiutaba
0.0417,itapira
0.0417,jatai
0.0417,patos
0.0417,floriano
0.0417,barretos
0.0417,"santa ines"
0.0417,penapolis
0.0417,mineiros
0.0417,"belo jardim"
0.0417,taquara
0.0417,sousa
0.0417,indaial
0.0417,"uniao da vitoria"
0.0417,ararangua
0.0417,"capão bonito"
0.0417,quixada
0.0417,uba
0.0417,carpina
0.0417,"ponta pora"
0.0417,timon
0.0417,"conselheiro lafaiete"
0.0417,sarandi
0.0417,"sao joao del rei"
0.0417,"sao pedro da aldeia"
0.0417,aracruz
0.0365,NULL
0.0365,hortolandia
0.0365,"varzea paulista"
0.0365,"campo limpo paulista"
0.0365,cabedelo
0.0365,altamira
0.0365,"fazenda rio grande"
0.0365,mirassol
0.0365,fernandopolis
0.0365,alfenas
0.0365,alegrete
0.0365,matao
0.0365,camboriu
0.0365,esteio
0.0365,castanhal
0.0365,caratinga
0.0365,"lencois paulista"
0.0365,"rio do sul"
0.0365,tubarao
0.0365,vilhena
0.0365,picos
0.0313,tucurui
0.0313,"francisco beltrao"
0.0313,rolandia
0.0313,"santa barbara d'oeste"
0.0313,"mogi guacu"
0.0313,horizonte
0.0313,"santo angelo"
0.0313,jales
0.0313,"sao domingos"
0.0313,"santo antonio do descoberto"
0.0313,santana
0.0313,"santa cruz do capibaribe"
0.0313,lins
0.0313,castro
0.0313,gravata
0.0313,planaltina
0.0313,"santa rita"
0.0313,paragominas
0.0313,seropedica
0.0313,"bom jesus"
0.0313,biguaçu
0.0313,redencao
0.0313,"santana do livramento"
0.0313,saquarema
0.0313,itajubá
0.0313,"patos de minas"
0.0313,"sao gabriel"
0.0313,"cachoeira do sul"
0.0261,navegantes
0.0261,maresias
0.0261,"serra talhada"
0.0261,itabira
0.0261,ipatinga
0.0261,cosmopolis
0.0261,"sao pedro"
0.0261,bayeux
0.0261,"santo antonio de jesus"
0.0261,capanema
0.0261,batatais
0.0261,barbacena
0.0261,araxá
0.0261,cataguases
0.0261,tefe
0.0261,"novo gama"
0.0261,andradina
0.0261,passos
0.0261,paracatu
0.0261,timoteo
0.0261,divinopolis
0.0261,"teófilo otoni"
0.0261,"boa esperança"
0.0209,"santa barbara d oeste"
0.0209,"laranjeiras do sul"
0.0209,"sao miguel dos campos"
0.0209,mogi-guacu
0.0209,"santa helena"
0.0209,"vista alegre"
0.0209,planalto
0.0209,"cidade ocidental"
0.0209,"sao francisco"
0.0209,"sete lagoas"
0.0209,"alto alegre"
0.0209,agudos
0.0209,itacoatiara
0.0209,piratininga
0.0209,itaituba
0.0209,vicosa
0.0209,"vera cruz"
0.0209,"para de minas"
0.0209,bonito
0.0209,"bom jardim"
0.0156,jussara
0.0156,"joao monlevade"
0.0156,"sao francisco da praia"
0.0156,bandeirantes
0.0156,"agua branca"
0.0156,itambe
0.0156,triunfo
0.0156,"sao simao"
0.0156,"santa terezinha"
0.0156,"ouro preto"
0.0156,felixlandia
0.0156,janauba
0.0156,"novo horizonte"
0.0156,caicara
0.0156,"coronel fabriciano"
0.0156,arapua
0.0156,jurema
0.0156,"santa margarida"
0.0156,"cruzeiro do sul"
0.0156,"são martinho"
0.0156,parintins
0.0156,xinguara
0.0156,"nova olinda"
0.0156,floresta
0.0156,"agua boa"
0.0156,primavera
0.0156,"teodoro sampaio"
0.0156,itapipoca
0.0156,"ouro branco"
0.0156,pinhao
0.0156,"mundo novo"
0.0156,congonhas
0.0156,sapucaia
0.0156,"santa cruz"
0.0156,quatis
0.0156,"corrego do ouro"
0.0156,"bom sucesso"
0.0156,independencia
0.0156,bonfim
0.0156,"monte alegre"
0.0156,cantagalo
0.0156,sobradinho
0.0156,"rio bonito"
0.0156,"campo alegre"
0.0156,pilar
0.0104,"agua fria"
0.0104,"vargem grande paulista"
0.0104,"mata de sao joao"
0.0104,acucena
0.0104,oriximina
0.0104,adamantina
0.0104,"santa isabel"
0.0104,arapora
0.0104,fama
0.0104,barcarena
0.0104,tupaciguara
0.0104,"casa nova"
0.0104,guaraciaba
0.0104,massaranduba
0.0104,"nova fatima"
0.0104,"monte alegre de minas"
0.0104,morrinhos
0.0104,eldorado
0.0104,lagoinha
0.0104,"ponte nova"
0.0104,itaja
0.0104,"picada café"
0.0104,canápolis
0.0104,"sao tome"
0.0104,"flores da cunha"
0.0104,aparecida
0.0104,"alto paraiso"
0.0104,milagres
0.0104,pinheiros
0.0104,"cachoeira dourada"
0.0104,"sao jose do barreiro"
0.0104,patis
0.0104,tuiuti
0.0104,vargem
0.0104,colorado
0.0104,soledade
0.0104,pinhalzinho
0.0104,manhuacu
0.0104,maravilha
0.0104,itupeva
0.0104,cabreuva
0.0104,aragarcas
0.0104,ipira
0.0104,mombuca
0.0104,ipora
0.0104,batalha
0.0104,"pau d'arco"
0.0104,"santa teresinha"
0.0104,dourado
0.0104,buriti
0.0104,"santa barbara"
0.0104,roteiro
0.0104,"jequia da praia"
0.0104,periquito
0.0104,portelandia
0.0104,"presidente juscelino"
0.0104,"barra de sao miguel"
0.0104,naque
0.0104,jussari
0.0104,realeza
0.0104,"santana do paraiso"
0.0104,"rio paranaiba"
0.0104,cravinhos
0.0104,serrana
0.0104,"serra azul"
0.0104,"morro da garca"
0.0104,nazare
0.0104,inimutaba
0.0104,"nova veneza"
0.0104,guara
0.0104,jatoba
0.0104,conde
0.0104,jardinopolis
0.0104,juscimeira
0.0104,"pedra preta"
0.0104,"monte azul paulista"
0.0104,"terra roxa"
0.0104,pitangueiras
0.0104,"terra nova"
0.0104,jaborandi
0.0104,guaira
0.0104,gaurama
0.0104,iranduba
0.0104,tapira
0.0104,"santa lucia"
0.0104,"sao joao batista"
0.0104,"santa filomena"
0.0104,"nova america"
0.0104,tabatinga
0.0104,flores
0.0104,douradina
0.0104,"sant'ana do livramento"
0.0104,aurora
0.0104,cedro
0.0104,palmeira
0.0104,laranjal
0.0104,pirapora
0.0104,"santo amaro"
0.0104,prata
0.0104,taperoa
0.0104,nhandeara
0.0104,carauari
0.0104,mendonca
0.0104,joanesia
0.0104,humaitá
0.0104,"capitao eneas"
0.0104,marau
0.0104,"barao de cocais"
0.0104,jandaira
0.0104,"nova uniao"
0.0104,"porto acre"
0.0104,"carmo do paranaiba"
0.0104,itapura
0.0104,guaraci
0.0104,"riacho de santana"
0.0104,caete
0.0104,palestina
0.0104,jacuipe
0.0104,"ponte alta"
0.0104,brumadinho
0.0104,ceilandia
0.0104,jordao
0.0104,piranhas
0.0104,brasitânia
0.0104,indianopolis
0.0104,"prudente de morais"
0.0104,"são joão nepomuceno"
0.0104,inhauma
0.0104,parana
0.0104,turmalina
0.0104,taguatinga
0.0104,"sao joao"
0.0104,harmonia
0.0104,funilandia
0.0104,apora
0.0104,paraiso
0.0104,baldim
0.0104,jardim
0.0104,jaru
0.0104,"monte santo de minas"
0.0104,"alem paraiba"
0.0104,cedral
0.0104,taquaritinga
0.0104,itamogi
0.0104,"entre rios"
0.0104,"general carneiro"
0.0104,"mar de espanha"
0.0104,alagoinha
0.0104,"nova vicosa"
0.0104,gloria
0.0104,glicerio
0.0104,"nova santa rita"
0.0104,japura
0.0104,"aguas vermelhas"
0.0104,jundia
0.0104,"lagoa santa"
0.0104,cafelandia
0.0104,simoes
0.0104,caapiranga
0.0104,"fazenda nova"
0.0104,itauna
0.0104,"morada nova"
0.0104,"vargem bonita"
0.0104,bocaina
0.0104,"dois irmãos"
0.0104,ipiranga
0.0104,"joao pinheiro"
0.0104,"barra bonita"
0.0104,"nova crixas"
0.0104,centenario
0.0104,garca
0.0104,"novo santo antonio"
0.0104,duartina
0.0104,goiana
0.0104,"porto firme"
0.0104,itacare
0.0104,ibaiti
0.0104,"barro duro"
0.0104,davinopolis
0.0104,"ouro verde"
0.0104,"monte castelo"
0.0104,ijaci
0.0104,tavares
0.0104,"santa vitoria do palmar"
0.0104,"rio negro"
0.0104,tapiraí
0.0104,nanuque
0.0104,conceição
0.0104,aracoiaba
0.0104,"sao geraldo"
0.0104,"lagoa grande"
0.0104,"sao jose do divino"
0.0104,"lagoa do mato"
0.0104,itaoca
0.0104,"bom jesus do tocantins"
0.0104,pilões
0.0104,"nova aurora"
0.0104,itaporanga
0.0104,campestre
0.0104,fatima
0.0104,barracao
0.0104,"santa cecilia"
0.0104,botelhos
0.0104,tangara
0.0104,alegria
0.0104,iracema
0.0104,mucuri
0.0104,"sitio novo"
0.0104,caridade
0.0104,esperantina
0.0104,cristalina
0.0104,araruna
0.0104,atalaia
0.0104,"piedade dos gerais"
0.0104,maripá
0.0104,"sao vicente ferrer"
0.0104,chavantes
0.0104,camanducaia
0.0104,ibitira
0.0104,"sao joao do paraiso"
0.0104,icara
0.0104,extrema
0.0104,"estrela do norte"
0.0104,itapiranga
0.0104,condado
0.0104,tapejara
0.0104,"presidente bernardes"
